lga_name,year,median_rent,offence_count,independent_schools,total_schools,gp_clinics_per_1000,allied_health_per_1000,dental_sites_per_1000,pharmacies_per_1000,acsc_per_1000,address,suburb,latitude,longitude,straight_line_km,driving_km
BALLARAT,2007,197,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2008,200,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2008,210,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2008,210,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2008,220,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2009,220,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2009,220,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2009,220,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2009,230,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2010,230,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2010,235,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2010,240,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2010,240,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2011,250,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2011,250,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2011,250,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2011,260,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2012,260,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2012,255,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2012,260,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2012,265,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2013,260,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2013,265,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2013,260,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2013,260,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2014,270,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2014,270,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2014,270,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2014,270,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2015,270,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2015,265,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2015,270,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2015,270,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2016,270,12076.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2016,265,12076.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2016,270,12076.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2016,280,12076.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2017,280,11556.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2017,280,11556.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2017,280,11556.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2017,290,11556.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2018,290,10852.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2018,295,10852.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2018,300,10852.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2018,300,10852.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2019,310,11735.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2019,310,11735.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2019,320,11735.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2019,320,11735.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2020,330,9748.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2020,320,9748.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2020,330,9748.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2020,340,9748.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2021,350,10121.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2021,350,10121.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2021,350,10121.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2021,360,10121.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2022,370,10952.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2022,370,10952.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2022,380,10952.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2022,388,10952.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2023,385,11704.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2023,390,11704.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2023,400,11704.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2023,410,11704.0,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
